[06-Dec-2007 10:58:05] PHP Parse error:  parse error in f:\phpdev\www\pamela\ajauction\index.php on line 85
[06-Dec-2007 11:43:23] PHP Fatal error:  Failed opening required 'include/searchlist.php' (include_path='.;f:/phpdev/php/includes;f:/phpdev/php/class') in f:\phpdev\www\pamela\ajauction\templates\search.tpl on line 96
[06-Dec-2007 11:43:49] PHP Fatal error:  Failed opening required 'ends.php' (include_path='.;f:/phpdev/php/includes;f:/phpdev/php/class') in f:\phpdev\www\pamela\ajauction\templates\search_list_view.tpl on line 46
[06-Dec-2007 11:43:53] PHP Fatal error:  Failed opening required 'ends.php' (include_path='.;f:/phpdev/php/includes;f:/phpdev/php/class') in f:\phpdev\www\pamela\ajauction\templates\search_gallery_view.tpl on line 50
[06-Dec-2007 11:44:32] PHP Fatal error:  Call to undefined function:  getdatedifference() in f:\phpdev\www\pamela\ajauction\ends.php on line 40
[06-Dec-2007 11:44:46] PHP Fatal error:  Call to undefined function:  getdatedifference() in f:\phpdev\www\pamela\ajauction\ends.php on line 40
[06-Dec-2007 12:35:42] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 324
[06-Dec-2007 12:36:10] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 324
[06-Dec-2007 12:36:23] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 324
[06-Dec-2007 12:43:51] PHP Fatal error:  Call to undefined function:  mysql_fetch_aray() in f:\phpdev\www\pamela\ajauction\index.php on line 329
[06-Dec-2007 13:25:21] PHP Warning:  Wrong parameter count for mysql_fetch_array() in f:\phpdev\www\pamela\ajauction\hotitems.php on line 10
[06-Dec-2007 13:25:34] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\hotitems.php on line 10
[06-Dec-2007 13:25:55] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\hotitems.php on line 10
[06-Dec-2007 16:49:12] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 425
[06-Dec-2007 16:49:23] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 425
[06-Dec-2007 16:49:26] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 425
[06-Dec-2007 16:49:33] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 425
[06-Dec-2007 16:50:03] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 425
[06-Dec-2007 16:50:31] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 425
[06-Dec-2007 16:52:46] PHP Parse error:  parse error, expecting `','' or `';'' in f:\phpdev\www\pamela\ajauction\index.php on line 421
[06-Dec-2007 19:11:11] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\hotitems.php on line 10
[06-Dec-2007 19:11:40] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\hotitems.php on line 10
[06-Dec-2007 19:25:18] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\hotitems.php on line 10
[06-Dec-2007 19:25:28] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\hotitems.php on line 10
[07-Dec-2007 11:38:06] PHP Parse error:  parse error, expecting `T_STRING' or `T_VARIABLE' or `T_NUM_STRING' in f:\phpdev\www\pamela\ajauction\index.php on line 427
[07-Dec-2007 12:32:40] PHP Parse error:  parse error in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:04:47] PHP Parse error:  parse error in f:\phpdev\www\pamela\ajauction\hotitems.php on line 16
[07-Dec-2007 13:08:44] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:08:44] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:08:44] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:09:22] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:09:22] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:09:22] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:09:30] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:09:30] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:09:30] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:09:36] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:09:36] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:09:36] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:09:46] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:09:46] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:09:46] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:11:17] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:11:17] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:11:17] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:11:38] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:11:38] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:11:38] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:11:59] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:11:59] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:11:59] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 13:12:37] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:12:37] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:12:37] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
